Ticker,Reason,Side,Quantity,LimitPrice,MarketPrice,Note
BWE,liquidity,BUY,0,48.25,48.85,liq_norm 0.059 < min 0.451
CTD,liquidity,BUY,0,81.0,82.5,liq_norm 0.426 < min 0.451
NT2,liquidity,BUY,0,22.85,23.2,liq_norm 0.277 < min 0.451
TLG,liquidity,BUY,0,53.2,53.3,liq_norm 0.040 < min 0.451
CII,market,BUY,0,24.05,24.5,market filter active – pause new entries under weak market conditions
CTG,market,BUY,0,50.7,50.8,market filter active – pause new entries under weak market conditions
HAG,market,BUY,0,16.05,16.5,market filter active – pause new entries under weak market conditions
MBB,market,BUY,0,26.55,26.55,market filter active – pause new entries under weak market conditions
MWG,market,BUY,0,75.3,77.0,market filter active – pause new entries under weak market conditions
SSI,market,BUY,0,37.15,37.65,market filter active – pause new entries under weak market conditions
STB,market,BUY,0,56.9,57.0,market filter active – pause new entries under weak market conditions
TCB,market,BUY,0,37.8,38.35,market filter active – pause new entries under weak market conditions
VCG,market,BUY,0,27.05,27.25,market filter active – pause new entries under weak market conditions
VIX,market,BUY,0,34.5,35.5,market filter active – pause new entries under weak market conditions
VRE,market,BUY,0,30.55,32.75,market filter active – pause new entries under weak market conditions
